run,mpi_ranks,total_s,compute_s,mpi_s,io_s,other_s
run_CA_03D_scale_16gpu_matrix,16,7.666,2.2294008399999994,3.024344,0.0,2.3811639499999995
run_CA_03D_scale_16gpu_tuolumne,16,14.95,4.217469740000001,5.108591,0.0,5.590437970000001
run_CA_03D_scale_2gpu_matrix,2,31.49,8.55561915,7.58555,0.0,15.34740227
run_CA_03D_scale_2gpu_tuolumne,2,62.99,16.101446530000004,34.606119,0.0,12.280204500000002
run_CA_03D_scale_4gpu_matrix,4,26.38,4.5164297300000005,12.676908000000001,0.0,9.183011589999998
run_CA_03D_scale_4gpu_tuolumne,4,68.7,8.50852506,48.094689,0.0,11.781405010000002
run_CA_03D_scale_8gpu_matrix,8,13.38,3.0133730100000005,5.51146,0.0,4.823585049999998
run_CA_03D_scale_8gpu_tuolumne,8,35.4,5.7089416,20.682258999999995,0.0,8.986431959999999
run_US_04D_scale_128gpu_tuolumne,128,25.95,5.522157970000001,8.465079999999999,0.0,11.905003972000001
run_US_04D_scale_32gpu_tuolumne,32,79.67,12.284336550000003,44.61877,0.0,22.729045320000004
run_US_04D_scale_64gpu_tuolumne,64,39.32,8.189059620000002,16.749979999999997,0.0,14.339610343999999
